#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Absiella argi	Bacteria	Terrabacteria group	Firmicutes	pABar1	NZ_AP019696.1	AP019696	4.73	34.4397	6	-	-	-	6	-
Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-498	NZ_CP007729.1	CP007729	243.824	53.2249	244	-	-	-	273	29
Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Bacteria	Proteobacteria	Gammaproteobacteria	pKpQIL-6e6	NZ_CP007730.1	CP007730	113.639	53.9278	128	-	-	-	141	13
Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC-484	NZ_CP008798.1	CP008798	85.473	55.579	83	-	-	-	106	23
Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-819	NZ_CP008799.1	CP008799	58.05	48.5512	71	-	-	-	81	10
Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-e44	NZ_CP008800.1	CP008800	194.877	52.47	193	-	-	-	223	30
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Bacteria	Proteobacteria	Gammaproteobacteria	pKEC-dc3	NZ_CP007732.1	CP007732	268.334	52.6139	300	-	-	-	333	33
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-068	NZ_CP007733.1	CP007733	80.411	51.3437	94	-	-	-	102	8
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-262	NZ_CP007734.1	CP007734	338.85	52.721	327	-	-	-	378	51
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-a41	NZ_CP007735.1	CP007735	89.77	51.818	77	-	-	-	98	21
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-b0b	NZ_CP007736.1	CP007736	113.44	49.3926	124	-	-	-	149	25
Klebsiella pneumoniae subsp. pneumoniae KPR0928	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN-294	NZ_CP008832.1	CP008832	13.841	53.6811	15	-	-	-	18	3
Klebsiella pneumoniae subsp. pneumoniae KPR0928	Bacteria	Proteobacteria	Gammaproteobacteria	pKpQIL-531	NZ_CP008833.1	CP008833	113.639	53.9287	127	-	-	-	141	14
Klebsiella pneumoniae subsp. pneumoniae KPX	Bacteria	Proteobacteria	Gammaproteobacteria	pKPX-1	NC_021198.1	AP012055	250.444	53.4207	215	-	-	-	215	-
Klebsiella pneumoniae subsp. pneumoniae KPX	Bacteria	Proteobacteria	Gammaproteobacteria	pKPX-2	NC_021199.1	AP012056	141.545	52.4928	133	-	-	-	133	-
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN3	NC_009649.1	CP000648	175.879	51.6907	166	-	-	-	196	30
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN4	NC_009650.1	CP000649	107.576	53.4404	124	-	-	-	139	15
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN5	NC_009651.1	CP000650	88.582	53.8168	103	-	-	-	113	10
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN6	NC_009652.1	CP000651	4.259	41.4182	4	-	-	-	5	1
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN7	NC_009653.1	CP000652	3.478	45.6584	5	-	-	-	7	2
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Bacteria	Proteobacteria	Gammaproteobacteria	pK2044	NC_006625.1	AP006726	224.152	50.1682	190	-	-	-	236	46
Klebsiella pneumoniae subsp. pneumoniae PittNDM01	Bacteria	Proteobacteria	Gammaproteobacteria	plasmid1	NZ_CP006799.1	CP006799	283.371	46.4105	277	-	-	-	301	24
Klebsiella pneumoniae subsp. pneumoniae PittNDM01	Bacteria	Proteobacteria	Gammaproteobacteria	plasmid2	NZ_CP006800.1	CP006800	103.694	50.9962	93	-	-	-	115	22
Klebsiella pneumoniae subsp. pneumoniae PittNDM01	Bacteria	Proteobacteria	Gammaproteobacteria	plasmid3	NZ_CP006801.1	CP006801	70.814	52.9217	76	-	-	-	91	15
Klebsiella pneumoniae subsp. pneumoniae PittNDM01	Bacteria	Proteobacteria	Gammaproteobacteria	plasmid4	NZ_CP006802.1	CP006802	6.141	52.1902	6	-	-	-	9	3
Klebsiella pneumoniae subsp. rhinoscleromatis SB3432	Bacteria	Proteobacteria	Gammaproteobacteria	pKRH	NC_021231.1	FO203500	113.685	52.6956	115	-	-	-	140	25
Klebsiella pneumoniae UHKPC07	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC07-113.639kb	NZ_CP011986.1	CP011986	113.639	53.9251	127	-	-	-	141	14
Klebsiella pneumoniae UHKPC07	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC07-74.026kb	NZ_CP011987.1	CP011987	74.026	50.412	89	-	-	-	101	12
Klebsiella pneumoniae UHKPC07	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC07-13.841kb	NZ_CP011988.1	CP011988	13.841	53.6811	15	-	-	-	18	3
Klebsiella pneumoniae UHKPC33	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC33-162.533kb	NZ_CP011990.1	CP011990	162.533	53.73	166	-	-	-	191	25
Klebsiella pneumoniae UHKPC33	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC33-113.638kb	NZ_CP011991.1	CP011991	113.638	53.9283	126	-	-	-	140	14
Klebsiella pneumoniae UHKPC33	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC33-43.380kb	NZ_CP011992.1	CP011992	43.38	46.8349	52	-	-	-	55	3
Klebsiella pneumoniae UHKPC33	Bacteria	Proteobacteria	Gammaproteobacteria	pUHKPC33-13.841kb	NZ_CP011993.1	CP011993	13.841	53.6811	14	-	-	-	17	3
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKQPS1	NZ_CP014697.2	CP014697	152.001	51.9983	153	-	-	-	180	27
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKQPS2	NZ_CP014698.2	CP014698	77.127	52.9801	90	-	-	-	99	9
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP014072.1	CP014072	76.312	53.0454	97	-	-	-	101	4
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP014073.1	CP014073	151.998	51.9974	153	-	-	-	186	33
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKQPS142a	NZ_CP023479.1	CP023479	189.707	50.7145	165	-	-	-	202	37
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKQPS142b	NZ_CP023480.1	CP023480	10.951	57.3281	10	-	-	-	11	1
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV2018-51	NZ_CP029428.1	CP029428	51.212	51.5817	59	-	-	-	62	3
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV2018-63	NZ_CP029429.1	CP029429	63.235	48.5159	68	-	-	-	77	9
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV2018-177	NZ_CP029430.1	CP029430	177.029	51.635	171	-	1	-	202	30
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV2018-435	NZ_CP029431.1	CP029431	435.125	49.9493	478	-	-	-	505	27
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV2013-4095	NZ_CP029433.1	CP029433	4.095	53.895	6	-	-	-	9	3
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV2013-61	NZ_CP029434.1	CP029434	61.215	51.5397	69	-	-	-	70	1
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV2013-156	NZ_CP029435.1	CP029435	155.523	52.3832	149	-	1	-	175	25
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV2013	NZ_CP029436.1	CP029436	447.095	49.9885	487	-	-	-	517	30
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV1947-14	NZ_CP029438.1	CP029438	14.106	59.4073	12	-	-	-	15	3
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV1947-56	NZ_CP029439.1	CP029439	55.89	48.9372	58	-	-	-	65	7
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV1947-61	NZ_CP029440.1	CP029440	60.653	51.6017	68	-	-	-	70	2
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pCAV1947-173	NZ_CP029441.1	CP029441	172.839	52.5599	179	-	1	-	208	28
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC_CAV1947-412	NZ_CP029442.1	CP029442	412.382	49.6714	450	-	-	-	473	23
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pL22-1	NZ_CP031258.1	CP031258	212.635	49.6602	181	-	-	-	223	42
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pL22-2	NZ_CP031259.1	CP031259	59.149	51.2756	63	-	-	-	67	4
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pL22-3	NZ_CP031260.1	CP031260	64.468	30.927	62	-	-	-	68	6
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pL22-4	NZ_CP031261.1	CP031261	66.154	52.7859	70	-	-	-	76	6
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pL22-5	NZ_CP031262.1	CP031262	95.314	51.6084	127	-	-	-	137	10
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_218.9Kb	NZ_CP034130.1	CP034130	218.935	50.7151	196	-	-	-	240	44
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_136.4Kb	NZ_CP034131.1	CP034131	136.368	52.9032	160	-	-	-	185	25
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_81.9Kb	NZ_CP034132.1	CP034132	81.935	51.6092	73	-	-	-	89	16
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_52.4Kb	NZ_CP034133.1	CP034133	52.372	47.5273	57	-	-	-	63	6
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_6.9Kb	NZ_CP034134.1	CP034134	6.927	50.7146	5	-	-	-	5	-
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG4584_3.7Kb	NZ_CP034135.1	CP034135	3.733	44.6022	7	-	-	-	7	-
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_6kb	NZ_CP034676.1	CP034676	6.83	49.5754	8	-	-	-	10	2
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_80kb	NZ_CP034677.1	CP034677	80.476	50.8313	75	-	-	-	93	18
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_83kb	NZ_CP034679.1	CP034679	83.909	49.9291	66	-	-	-	86	20
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_3kb	NZ_CP034680.1	CP034680	3.897	42.2376	5	-	-	-	6	1
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_296kb	NZ_CP034681.1	CP034681	296.653	46.489	284	-	-	-	301	17
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pD120-1_13kb	NZ_CP034682.1	CP034682	13.478	45.6893	9	-	-	-	16	7
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pA708-1	NZ_CP026369.1	CP026369	238.703	47.2152	240	-	-	-	263	23
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pA708-2	NZ_CP026370.1	CP026370	118.719	52.182	129	-	-	-	156	27
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pA708-3	NZ_CP026371.1	CP026371	133.085	52.1576	146	-	-	-	174	28
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTMSNI47-1	NZ_AP019688.1	AP019688	185.311	51.2376	220	-	-	-	234	14
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTMSNI47-2	NZ_AP019689.1	AP019689	181.469	50.3651	145	-	-	-	193	48
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTMSNI47-3	NZ_AP019690.1	AP019690	89.834	53.0167	108	-	-	-	116	8
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTMSNI47-4	NZ_AP019691.1	AP019691	85.849	50.1322	55	-	-	-	92	37
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTH114-3	NZ_CP035208.1	CP035208	59.814	52.7201	66	-	-	-	72	6
Klebsiella quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pTH114-1	NZ_CP035209.1	CP035209	73.414	53.6451	68	-	-	-	82	14
Klebsiella quasipneumoniae subsp. quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	p17277A_477	NZ_CP043927.1	CP043927	477.34	48.68	490	-	-	-	552	62
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pDA33145-152	NZ_CP029598.1	CP029598	151.998	51.9974	154	-	-	-	179	25
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pDA33145-77	NZ_CP029599.1	CP029599	77.11	52.9853	95	-	-	-	99	4
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG747_150.8Kb	NZ_CP034137.1	CP034137	150.833	52.7358	158	-	-	-	200	42
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG747_218.9Kb	NZ_CP034138.1	CP034138	218.944	50.7143	192	-	-	-	240	48
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG747_6.9Kb	NZ_CP034139.1	CP034139	6.924	50.7077	3	-	-	-	5	2
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG747_84.1Kb	NZ_CP034140.1	CP034140	84.121	52.4911	69	-	-	-	89	20
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	pG747_3.7Kb	NZ_CP034339.1	CP034339	3.733	44.6558	7	-	-	-	7	-
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CM016900.1	CM016900	34.774	48.3033	37	-	-	-	44	7
Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CM016896.1	CM016896	71.655	52.3313	76	-	-	-	88	12
Klebsiella quasivariicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1705-1	NZ_CP022824.1	CP022824	240.771	53.4363	231	-	-	-	263	32
Klebsiella quasivariicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1705-2	NZ_CP022825.1	CP022825	97.896	52.2657	115	-	-	-	125	10
Klebsiella quasivariicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1705-3	NZ_CP022826.1	CP022826	67.851	51.8489	82	-	-	-	86	4
Klebsiella sp. FDAARGOS_511	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP033823.1	CP033823	186.836	52.2415	175	-	-	-	196	21
Klebsiella sp. FDAARGOS_511	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP033825.1	CP033825	3.897	42.212	6	-	-	-	8	2
Klebsiella sp. FDAARGOS_511	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP033826.1	CP033826	5.907	50.8549	8	-	-	-	9	1
Klebsiella sp. FDAARGOS_511	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed4	NZ_CP033827.1	CP033827	4.096	55.5176	7	-	-	-	9	2
Klebsiella sp. KCL-2	Bacteria	Proteobacteria	Gammaproteobacteria	pMGD2	NC_003789.1	AY033498	3.564	47.7273	2	-	-	-	2	-
Klebsiella sp. LTGPAF-6F	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP017451.1	CP017451	526.446	49.0466	475	-	-	-	588	113
Klebsiella sp. LTGPAF-6F	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP017452.1	CP017452	89.552	51.3154	86	-	-	-	100	14
Klebsiella sp. LY	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP022441.1	CP022441	316.557	46.3067	329	-	-	-	350	21
Klebsiella sp. LY	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP022442.1	CP022442	95.324	51.5935	125	-	-	-	138	13
Klebsiella sp. LY	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP022443.1	CP022443	38.669	49.3858	25	-	-	-	40	15
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p1	NZ_CP037442.1	CP037442	204.467	51.9047	172	-	-	-	220	48
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p2	NZ_CP037443.1	CP037443	113.52	51.479	113	-	2	-	118	3
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p3	NZ_CP037444.1	CP037444	84.279	52.9242	81	-	-	-	104	23
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p4	NZ_CP037445.1	CP037445	14.2	51.1479	12	-	-	-	19	7
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p5	NZ_CP037446.1	CP037446	12.598	47.2377	8	-	-	-	16	8
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p6	NZ_CP037447.1	CP037447	5.974	43.9906	8	-	-	-	8	-
Klebsiella sp. PO552	Bacteria	Proteobacteria	Gammaproteobacteria	p7	NZ_CP037448.1	CP037448	3.268	52.8764	4	-	-	-	4	-
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pBZ19	-	JDWA01000031.1	52.2	51.3697	60	-	-	-	62	2
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKV1	NZ_CP009275.1	CP009275	162.706	50.6582	141	-	-	-	153	12
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKV2	NZ_CP009276.1	CP009276	54.715	53.1116	51	-	-	-	53	2
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-1b	NZ_CP017281.1	CP017281	92.219	51.2356	100	-	-	-	111	11
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-1c	NZ_CP017282.1	CP017282	58.666	51.6585	75	-	-	-	76	1
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-1a	NZ_CP017283.1	CP017283	108.867	55.2123	111	-	-	-	121	10
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-2a	NZ_CP017850.1	CP017850	108.965	55.215	106	-	-	-	125	19
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-2b	NZ_CP017851.1	CP017851	92.232	51.2295	103	-	-	-	111	8
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-2c	NZ_CP017852.1	CP017852	66.447	54.1273	76	-	-	-	93	17
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-2d	NZ_CP017853.1	CP017853	58.666	51.6602	72	-	-	-	76	4
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-3a	NZ_CP017285.1	CP017285	108.857	55.2165	114	-	-	-	121	7
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-3b	NZ_CP017286.1	CP017286	92.231	51.229	101	-	-	-	111	10
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-3c	NZ_CP017287.1	CP017287	73.385	53.9715	70	-	-	-	85	15
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPGJ-3d	NZ_CP017288.1	CP017288	58.665	51.6577	74	-	-	-	76	2
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p6TM-224	NZ_CM008890.1	CM008890	216.151	44.2936	225	-	-	-	237	12
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM_6TM	NZ_CM008891.1	CM008891	120.078	54.622	121	-	-	-	157	36
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p6TM-70	NZ_CM008892.1	CM008892	62.069	51.91	71	-	-	-	91	20
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p6TM-6608	NZ_CM008893.1	CM008893	3.335	46.9565	6	-	-	-	9	3
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p1TM-225	NZ_CM008916.1	CM008916	216.15	44.291	224	-	-	-	237	13
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM_1TM	NZ_CM008917.1	CM008917	120.406	54.5023	113	-	-	-	156	43
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-1	NZ_CP023978.1	CP023978	213.341	51.0272	172	-	-	-	221	49
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-2	NZ_CP023979.1	CP023979	3.358	51.7272	4	-	-	-	4	-
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-3	NZ_CP023980.1	CP023980	52.398	47.1793	44	-	-	-	63	19
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-4	NZ_CP023981.1	CP023981	49.735	52.4098	17	-	-	-	61	44
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-5	NZ_CP023982.1	CP023982	3.374	46.2359	1	-	-	-	2	1
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-6	NZ_CP023983.1	CP023983	5.399	50.1574	3	-	-	-	9	6
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-7	NZ_CP023984.1	CP023984	111.425	48.9836	107	-	2	-	121	12
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-8	NZ_CP023985.1	CP023985	72.224	52.4867	70	-	-	-	83	13
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pX39-9	NZ_CP023986.1	CP023986	1.431	51.9217	1	-	-	-	1	-
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP013986.1	CP013986	163.254	49.8168	149	-	-	-	166	17
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1481-1	NZ_CP020848.1	CP020848	347.748	47.3024	317	-	-	-	366	49
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1481-5	NZ_CP020849.1	CP020849	10.373	51.634	4	-	-	-	13	9
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1481-4	NZ_CP020850.1	CP020850	12.376	45.6852	8	-	-	-	14	6
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1481-2	NZ_CP020851.1	CP020851	161.1	52.6096	158	-	-	-	185	27
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPN1481-3	NZ_CP020852.1	CP020852	20.38	51.683	20	-	-	-	30	10
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKP91	NC_011281.1	CP000966	91.096	51.0923	92	-	-	-	104	12
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKP187	NC_011282.1	CP000965	187.922	47.1515	173	-	-	-	201	28
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKp5-1	-	CP008701.1	186.323	50.669	163	1	-	-	178	14
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p15WZ-82_KPC	NZ_CP032355.1	CP032355	41.874	45.7229	50	-	-	-	53	3
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p15WZ-82_Vir	NZ_CP032356.1	CP032356	282.29	45.7406	273	-	-	-	302	29
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p15WZ-82_res	NZ_CP032357.1	CP032357	185.478	50.6664	186	-	-	-	215	29
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	2	NZ_LR130540.1	LR130540	165.705	52.5265	181	-	-	-	200	19
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p1_020019	NZ_CP028549.2	CP028549	248.112	52.0269	216	-	-	-	283	67
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p2_020019	NZ_CP028550.1	CP028550	110.186	48.9481	118	-	2	-	123	3
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p3_020019	NZ_CP028551.2	CP028551	74.191	50.5587	61	-	-	-	85	24
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p4_020019	NZ_CP028552.2	CP028552	4.686	44.1315	6	-	2	-	9	1
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pCTXM15_020019	NZ_CP028553.2	CP028553	117.244	52.1417	152	-	-	-	168	16
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pKPC2_020019	NZ_CP028554.1	CP028554	89.738	53.6272	100	-	-	-	111	11
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	pVir_030666	NZ_CP027063.3	CP027063	236.161	50.4169	196	-	-	-	253	57
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP044049.1	CP044049	213.613	49.2798	182	-	-	-	229	47
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP044051.1	CP044051	282.877	46.2049	292	-	-	-	320	28
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP044052.1	CP044052	5.409	50.9336	8	-	-	-	10	2
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p13450-1	NZ_CP026014.1	CP026014	344.479	47.3837	335	-	-	-	367	32
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	p13450-3	NZ_CP026015.1	CP026015	56.044	49.1453	62	-	-	-	69	7
